[21:39:31] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:39:32] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:39:32] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:39:32] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:39:32] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[21:39:32] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[21:39:32] [main/INFO]: Reloading ResourceManager: Default
[21:39:33] [Worker-Main-2/INFO]: Loaded 7 recipes
[21:39:34] [Worker-Main-2/INFO]: Loaded 1137 advancements
[21:39:37] [Server thread/INFO]: Starting minecraft server version 1.17
[21:39:37] [Server thread/INFO]: Loading properties
[21:39:37] [Server thread/INFO]: Default game type: SURVIVAL
[21:39:37] [Server thread/INFO]: Generating keypair
[21:39:37] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:39:37] [Server thread/INFO]: Using epoll channel type
[21:39:37] [Server thread/INFO]: Preparing level "world"
[21:39:45] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:39:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:39:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[21:40:04] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[21:40:07] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[21:40:08] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[21:40:08] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[21:40:09] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[21:40:09] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[21:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[21:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[21:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[21:40:11] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[21:40:12] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[21:40:12] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[21:40:13] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[21:40:13] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[21:40:14] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[21:40:14] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[21:40:14] [Server thread/INFO]: Time elapsed: 29697 ms
[21:40:14] [Server thread/INFO]: Done (37.343s)! For help, type "help"
